id,DurationMonth,CreditAmount,score,sex,age35,protected
0,0.029411765,0.949433256,0.600715353,1,0,2
1,0.647058824,0.686310113,0.496130655,0,1,3
2,0.117647059,0.898426323,0.506866366,1,0,2
3,0.558823529,0.580059426,0.5994821,1,0,2
4,0.294117647,0.74579069,0.550060466,1,0,2
5,0.470588235,0.515516672,0.501290835,1,0,2
6,0.294117647,0.857763838,0.617404307,1,0,2
7,0.470588235,0.631451524,0.476348482,1,0,2
8,0.117647059,0.845438539,0.543519801,1,0,2
9,0.382352941,0.725762078,0.368951631,1,1,1
10,0.117647059,0.942500275,0.321267721,0,1,3
11,0.647058824,0.776713987,0.528453856,0,1,3
12,0.117647059,0.92753384,0.4270104,0,1,3
13,0.294117647,0.947782546,0.626400036,1,0,2
14,0.161764706,0.93655772,0.545424327,0,1,3
15,0.294117647,0.943215583,0.392992229,0,1,3
16,0.294117647,0.880378563,0.637115574,1,0,2
17,0.382352941,0.56960493,0.518193712,1,1,1
18,0.294117647,0.321613294,0.416880175,0,0,4
19,0.294117647,0.825024761,0.51829006,1,1,1
20,0.073529412,0.896335424,0.552532993,1,0,2
21,0.029411765,0.868108287,0.461554118,1,0,2
22,0.088235294,0.890447893,0.484406174,1,0,2
23,0.117647059,0.914493232,0.455591992,1,0,2
24,0.088235294,0.899911962,0.431903366,1,1,1
25,0.029411765,0.938153406,0.435826078,1,0,2
26,0.029411765,0.990315836,0.538553972,1,0,2
27,0.117647059,0.991251238,0.516384179,0,0,4
28,0.044117647,0.880873776,0.389145691,1,1,1
29,0.823529412,0.637614174,0.72145307,1,0,2
30,0.205882353,0.908495653,0.424380404,1,0,2
31,0.294117647,0.792560801,0.45023475,1,1,1
32,0.205882353,0.690987124,0.461433081,1,1,1
33,0.117647059,0.944206009,0.546391268,1,0,2
34,0.117647059,0.93265104,0.311683367,0,1,3
35,0.602941176,0.752613624,0.41498694,1,1,1
36,0.647058824,0.677561351,0.572022358,1,1,1
37,0.205882353,0.898206229,0.391458341,1,0,2
38,0.088235294,0.946351931,0.44054336,1,0,2
39,0.073529412,0.988555079,0.430155254,1,1,1
40,0.382352941,0.885385716,0.538183936,1,1,1
41,0.117647059,0.950038517,0.369181812,1,1,1
42,0.205882353,0.672389127,0.481228803,1,0,2
43,0.382352941,0.67332453,0.66152139,1,1,1
44,0.647058824,0.675745571,0.64145198,0,0,4
45,0.102941176,0.937107956,0.495823094,0,0,4
46,0.470588235,0.88725652,0.624715303,1,0,2
47,0.029411765,0.939363926,0.319772222,0,1,3
48,0.102941176,0.616044899,0.529113689,1,0,2
49,0.117647059,0.899691868,0.37531887,0,1,3
50,0.294117647,0.885385716,0.335721556,1,1,1
51,0.338235294,0.685539782,0.632330247,1,1,1
52,0.117647059,0.944316056,0.414628797,1,1,1
53,0.205882353,0.827885991,0.393879382,1,1,1
54,0.470588235,0.891328271,0.671984466,1,0,2
55,0.029411765,0.970672389,0.441876122,1,1,1
56,0.117647059,0.657862881,0.276063865,1,0,2
57,0.470588235,0.487399582,0.472803935,0,1,3
58,0.205882353,0.905854517,0.5401681,0,1,3
59,0.470588235,0.671013536,0.468204981,0,1,3
60,0.073529412,0.937218004,0.389596418,1,1,1
61,0.161764706,0.929184549,0.621571954,1,0,2
62,0.470588235,0.906294707,0.651513105,1,0,2
63,0.647058824,0.220259712,0.409423603,1,1,1
64,0.294117647,0.838725652,0.443319684,0,1,3
65,0.338235294,0.728183119,0.710031333,1,0,2
66,0.117647059,0.894299549,0.389819524,0,1,3
67,0.117647059,0.958347089,0.339719842,1,1,1
68,0.470588235,0.913667877,0.536605788,1,0,2
69,0.470588235,0.882029273,0.530719536,0,1,3
70,0.470588235,0.566248487,0.471969623,0,1,3
71,0.044117647,0.973588643,0.491666287,1,0,2
72,0.058823529,0.949708375,0.66050206,1,0,2
73,0.558823529,0.686145042,0.502939889,0,0,4
74,0.470588235,0.904974139,0.651267418,1,0,2
75,0.117647059,0.92978981,0.636732441,1,0,2
76,0.558823529,0.795587102,0.438029885,1,1,1
77,0.102941176,0.751238032,0.546513961,1,0,2
78,0.735294118,0.494552658,0.453614904,1,0,2
79,0.382352941,0.802905249,0.375551911,1,1,1
80,0.294117647,0.686750303,0.4150452,0,0,4
81,0.161764706,0.947012215,0.531865474,1,0,2
82,0.205882353,0.927478816,0.497679597,0,1,3
83,0.294117647,0.917189391,0.574196658,0,0,4
84,0.088235294,0.886376142,0.561168019,1,0,2
85,0.117647059,0.936062507,0.451852942,0,1,3
86,0.205882353,0.942500275,0.353187466,0,1,3
87,0.470588235,0.319797513,0.519141535,1,0,2
88,0.205882353,0.890007703,0.506212103,1,1,1
89,0.117647059,0.9527897,0.52473242,1,1,1
90,0.117647059,0.979751293,0.576260158,1,0,2
91,0.117647059,0.936227578,0.521651095,1,0,2
